epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.4837,1.43064,2.37726,1.34014,0.76888,0.50633,0.61879,0.47581,0.99905,0.96095,1.0235,2.737e-05,2.737e-05,2.737e-05
2,112.228,1.35602,2.34969,1.2925,0.80391,0.50111,0.61978,0.47479,1.01611,0.97559,1.03156,5.40843e-05,5.40843e-05,5.40843e-05
3,164.609,1.32244,2.04834,1.28656,0.725,0.53908,0.60937,0.45918,1.04426,0.99832,1.0453,7.89137e-05,7.89137e-05,7.89137e-05
4,224.673,1.41552,2.02477,1.2856,0.74157,0.53418,0.60607,0.45216,1.05038,1.00647,1.04947,0.000101858,0.000101858,0.000101858
5,277.599,1.37389,1.91373,1.30758,0.68516,0.58829,0.60042,0.44652,1.06058,1.04613,1.05047,0.000103292,0.000103292,0.000103292
6,331.376,1.28019,1.80748,1.24585,0.72334,0.55054,0.59126,0.44432,1.06453,1.06838,1.0527,9.9365e-05,9.9365e-05,9.9365e-05
7,384.798,1.33578,1.75459,1.2512,0.6897,0.53808,0.58281,0.43186,1.07572,1.10254,1.05614,9.5438e-05,9.5438e-05,9.5438e-05
8,440.918,1.32427,1.74803,1.26224,0.68877,0.51516,0.58249,0.43411,1.07787,1.10978,1.06062,9.1511e-05,9.1511e-05,9.1511e-05
9,493.966,1.27602,1.70769,1.25189,0.68884,0.52193,0.58498,0.42791,1.08597,1.10605,1.06173,8.7584e-05,8.7584e-05,8.7584e-05
10,546.151,1.27732,1.69588,1.23711,0.63668,0.5408,0.58586,0.42848,1.10045,1.12812,1.06818,8.3657e-05,8.3657e-05,8.3657e-05
11,598.494,1.23174,1.63817,1.22026,0.76107,0.49151,0.56604,0.41703,1.11338,1.13936,1.07592,7.973e-05,7.973e-05,7.973e-05
12,654.443,1.35473,1.7433,1.2655,0.68715,0.49956,0.56392,0.4177,1.11361,1.15119,1.07295,7.5803e-05,7.5803e-05,7.5803e-05
13,718.923,1.20795,1.59953,1.1955,0.75024,0.49474,0.55689,0.40586,1.10292,1.16015,1.06584,7.1876e-05,7.1876e-05,7.1876e-05
14,835.579,1.3246,1.70069,1.25602,0.74944,0.50348,0.55203,0.41028,1.10879,1.14974,1.06861,6.7949e-05,6.7949e-05,6.7949e-05
15,935.794,1.25655,1.50962,1.20866,0.68203,0.50584,0.53888,0.39863,1.11549,1.17974,1.07905,6.4022e-05,6.4022e-05,6.4022e-05
16,1038.72,1.25487,1.48467,1.2228,0.72711,0.47406,0.53899,0.40898,1.11974,1.19039,1.07354,6.0095e-05,6.0095e-05,6.0095e-05
17,1131.07,1.22247,1.4182,1.19728,0.72149,0.51135,0.56879,0.40901,1.11769,1.17674,1.07506,5.6168e-05,5.6168e-05,5.6168e-05
18,1216.23,1.24743,1.42659,1.18949,0.73497,0.51529,0.57095,0.41005,1.11858,1.17059,1.06653,5.2241e-05,5.2241e-05,5.2241e-05
19,1317.55,1.25476,1.4671,1.19713,0.73028,0.47188,0.55537,0.41441,1.12622,1.19329,1.0776,4.8314e-05,4.8314e-05,4.8314e-05
20,1428.06,1.1994,1.37543,1.19791,0.69809,0.49044,0.55793,0.42652,1.13112,1.16365,1.07596,4.4387e-05,4.4387e-05,4.4387e-05
21,1530.72,1.24269,1.59085,1.17127,0.72186,0.48536,0.56725,0.43249,1.13548,1.18178,1.06247,4.046e-05,4.046e-05,4.046e-05
22,1602.84,1.26261,1.55518,1.17965,0.63254,0.52834,0.5683,0.4145,1.1484,1.21321,1.06496,3.6533e-05,3.6533e-05,3.6533e-05
23,1712.32,1.23935,1.48465,1.19196,0.62705,0.51378,0.56988,0.42219,1.15564,1.26559,1.07197,3.2606e-05,3.2606e-05,3.2606e-05
24,1797.01,1.14606,1.35936,1.11393,0.77466,0.45043,0.55175,0.40359,1.15203,1.27665,1.0689,2.8679e-05,2.8679e-05,2.8679e-05
25,1879.36,1.22358,1.61477,1.17714,0.68879,0.48068,0.54162,0.39653,1.1554,1.29203,1.07545,2.4752e-05,2.4752e-05,2.4752e-05
26,1995.33,1.21713,1.3753,1.15343,0.69677,0.48139,0.53673,0.39615,1.14949,1.29929,1.07586,2.0825e-05,2.0825e-05,2.0825e-05
27,2094.21,1.21971,1.48225,1.15309,0.72018,0.4827,0.54458,0.4011,1.15045,1.28839,1.07217,1.6898e-05,1.6898e-05,1.6898e-05
28,2184.21,1.11942,1.26168,1.12853,0.73757,0.48314,0.55012,0.39775,1.15709,1.29099,1.07321,1.2971e-05,1.2971e-05,1.2971e-05
29,2272.87,1.16414,1.32394,1.12881,0.7248,0.49364,0.54857,0.40175,1.14093,1.27324,1.06812,9.044e-06,9.044e-06,9.044e-06
30,2361.3,1.19586,1.41567,1.16832,0.72222,0.48843,0.54415,0.40018,1.13885,1.28487,1.06841,5.117e-06,5.117e-06,5.117e-06
